BASKET_NUM                      ,HSHD_NUM        ,PURCHASE_,PRODUCT_NUM                     ,     SPEND,     UNITS,STORE_R,  WEEK_NUM,YEAR
71085,2291,27-MAR-20,7297151,2.99,1,SOUTH  ,12,2020
24276,4249,02-MAR-19,102676,10.57,3,EAST   ,8,2019
72041,60,05-APR-20,94317,1.38,2,EAST   ,14,2020
1801,4011,01-SEP-18,96252,3.79,1,SOUTH  ,34,2018
47457,2607,09-SEP-19,6828848,2.0,1,WEST   ,36,2019
2832,4836,09-SEP-18,3683796,1.79,1,SOUTH  ,36,2018
66901,2291,20-FEB-20,5214209,3.34,1,SOUTH  ,7,2020
40520,4603,13-JUL-19,6785432,0.99,1,WEST   ,27,2019
71247,1895,28-MAR-20,102756,8.99,1,EAST   ,12,2020
44150,1308,12-AUG-19,82983,3.49,1,SOUTH  ,32,2019
14849,982,14-DEC-18,176832,3.0,4,EAST   ,49,2018
61983,3049,07-JAN-20,6801409,4.5,1,SOUTH  ,1,2020
28084,482,04-APR-19,93160,3.34,1,CENTRAL,13,2019
3220,4414,12-SEP-18,5307274,3.99,1,CENTRAL,36,2018
35617,590,03-JUN-19,89983,0.65,1,CENTRAL,22,2019
52978,3044,25-OCT-19,3773174,1.69,1,EAST   ,42,2019
68024,2512,01-MAR-20,2267712,1.31,1,WEST   ,9,2020
7639,4078,17-OCT-18,4483955,5.79,1,EAST   ,41,2018
74631,1836,03-MAY-20,7124858,5.99,1,SOUTH  ,18,2020
46871,2435,03-SEP-19,783961,3.49,1,WEST   ,35,2019
57375,3411,30-NOV-19,3771227,2.5,1,SOUTH  ,47,2019
76636,2512,22-MAY-20,7255472,0.49,1,WEST   ,20,2020
11682,3635,19-NOV-18,401069,1.0,1,SOUTH  ,46,2018
18888,2189,16-JAN-19,102713,2.5,1,EAST   ,2,2019
43948,682,10-AUG-19,4751917,2.0,2,CENTRAL,31,2019
63932,2175,25-JAN-20,5689046,0.52,1,WEST   ,3,2020
57995,3418,06-DEC-19,956909,3.99,1,SOUTH  ,48,2019
66372,1994,15-FEB-20,9058,0.82,1,CENTRAL,6,2020
4463,1015,22-SEP-18,1042356,3.69,1,EAST   ,37,2018
35043,991,29-MAY-19,101328,2.96,1,EAST   ,21,2019
66479,3785,15-FEB-20,827890,3.49,1,EAST   ,6,2020
18005,1795,08-JAN-19,5465634,2.5,2,WEST   ,1,2019
34927,3358,27-MAY-19,3680975,1.88,1,SOUTH  ,21,2019
6053,3889,04-OCT-18,2269908,1.25,1,SOUTH  ,39,2018
61742,3398,05-JAN-20,77312,5.0,2,SOUTH  ,1,2020
60383,3551,24-DEC-19,7185492,6.75,5,SOUTH  ,51,2019
83920,2573,01-AUG-20,628731,8.38,2,WEST   ,30,2020
17764,459,07-JAN-19,3679186,2.79,1,CENTRAL,1,2019
31230,4458,29-APR-19,7042197,2.99,1,SOUTH  ,17,2019
57000,2781,27-NOV-19,4138425,9.99,1,WEST   ,47,2019
20434,3582,29-JAN-19,8497,1.64,1,SOUTH  ,4,2019
28326,1567,06-APR-19,6933111,1.49,1,WEST   ,13,2019
81563,1082,09-JUL-20,5184984,6.99,1,EAST   ,27,2020
50631,361,06-OCT-19,198534,1.19,1,SOUTH  ,40,2019
38166,2781,23-JUN-19,6075146,3.39,1,WEST   ,25,2019
40754,1034,15-JUL-19,8487,0.5,1,EAST   ,28,2019
43994,1895,11-AUG-19,6726360,0.25,1,EAST   ,32,2019
81404,1895,08-JUL-20,5214209,6.0,2,EAST   ,27,2020
53993,3163,03-NOV-19,8588,1.24,1,SOUTH  ,44,2019
58144,3635,06-DEC-19,4193630,3.19,1,SOUTH  ,48,2019
14041,1433,08-DEC-18,2507415,3.49,1,WEST   ,48,2018
22377,2780,14-FEB-19,4945538,1.0,1,WEST   ,6,2019
54998,3214,11-NOV-19,91858,1.49,1,SOUTH  ,45,2019
7570,117,17-OCT-18,6438280,13.47,3,EAST   ,41,2018
53674,3022,01-NOV-19,6510679,4.98,2,SOUTH  ,43,2019
72219,3895,07-APR-20,8478,0.79,1,SOUTH  ,14,2020
23339,60,22-FEB-19,778357,8.34,6,EAST   ,7,2019
20276,53,28-JAN-19,4858910,10.79,1,EAST   ,4,2019
81441,1080,08-JUL-20,1411454,10.49,1,EAST   ,27,2020
81820,4498,11-JUL-20,5902071,10.0,1,WEST   ,27,2020
58696,3476,11-DEC-19,1339424,23.49,1,SOUTH  ,49,2019
1561,3214,30-AUG-18,746780,55.19,1,SOUTH  ,34,2018
44217,3904,12-AUG-19,6350853,1.0,1,EAST   ,32,2019
81129,2847,05-JUL-20,5748291,3.99,1,WEST   ,27,2020
27049,1122,26-MAR-19,5330313,1.0,1,EAST   ,12,2019
19205,1492,19-JAN-19,1042395,3.0,1,EAST   ,2,2019
54957,3758,10-NOV-19,84147,15.98,2,SOUTH  ,45,2019
66449,4778,16-FEB-20,761330,6.66,2,WEST   ,7,2020
75125,136,08-MAY-20,72705,4.99,1,EAST   ,18,2020
80863,2420,03-JUL-20,7361660,1.49,1,WEST   ,26,2020
19963,4366,26-JAN-19,121254,5.49,1,CENTRAL,3,2019
33247,991,15-MAY-19,97322,3.41,1,EAST   ,19,2019
2618,1308,07-SEP-18,5475386,6.99,1,SOUTH  ,35,2018
75421,1034,10-MAY-20,97634,1.99,1,EAST   ,19,2020
2238,2710,04-SEP-18,5058346,3.48,2,WEST   ,35,2018
29505,1924,15-APR-19,524104,1.25,1,SOUTH  ,15,2019
81103,3893,04-JUL-20,6441562,7.52,4,SOUTH  ,26,2020
38938,4623,30-JUN-19,101634,1.59,1,EAST   ,26,2019
14736,1526,14-DEC-18,6073561,5.0,2,CENTRAL,49,2018
3584,1082,15-SEP-18,6441562,3.76,2,EAST   ,36,2018
41870,4264,25-JUL-19,7099592,2.99,1,EAST   ,29,2019
72067,4085,05-APR-20,402746,3.49,1,CENTRAL,14,2020
61321,4816,01-JAN-20,9087,0.31,1,WEST   ,52,2020
79755,2780,22-JUN-20,7022576,2.19,1,WEST   ,25,2020
30904,1861,26-APR-19,1176293,9.99,1,CENTRAL,16,2019
31546,438,01-MAY-19,268094,1.99,1,CENTRAL,17,2019
32929,1809,12-MAY-19,6765393,2.5,1,SOUTH  ,19,2019
19560,3582,22-JAN-19,101636,1.99,1,SOUTH  ,3,2019
84026,590,02-AUG-20,6886555,0.0,1,CENTRAL,31,2020
1379,60,29-AUG-18,778357,8.22,6,EAST   ,34,2018
26204,3467,18-MAR-19,6563245,1.0,2,SOUTH  ,11,2019
82964,655,23-JUL-20,5295708,1.5,1,CENTRAL,29,2020
61693,438,04-JAN-20,268094,2.0,1,CENTRAL,52,2020
41078,3811,18-JUL-19,99483,0.89,1,SOUTH  ,28,2019
28454,2986,06-APR-19,102711,3.49,1,SOUTH  ,13,2019
41175,1647,19-JUL-19,89489,0.99,1,WEST   ,28,2019
26229,3758,18-MAR-19,1146757,2.5,1,SOUTH  ,11,2019
51530,3164,14-OCT-19,99367,1.29,1,SOUTH  ,41,2019
53022,4713,26-OCT-19,5797469,3.99,1,SOUTH  ,42,2019
80951,1120,03-JUL-20,7186264,1.99,1,EAST   ,26,2020
16423,183,27-DEC-18,2849504,3.99,1,EAST   ,51,2018
33216,2639,15-MAY-19,6438293,23.49,1,WEST   ,19,2019
58271,1195,08-DEC-19,894258,0.6,1,EAST   ,49,2019
72516,2986,10-APR-20,953403,3.29,1,SOUTH  ,14,2020
37469,514,18-JUN-19,684362,2.59,1,CENTRAL,24,2019
42590,1786,30-JUL-19,6178045,3.49,1,WEST   ,30,2019
43083,4439,04-AUG-19,97694,0.49,1,EAST   ,31,2019
24689,2512,06-MAR-19,6394689,1.99,1,WEST   ,9,2019
25375,4897,12-MAR-19,204153,0.89,1,SOUTH  ,10,2019
51388,3893,12-OCT-19,5489970,1.49,1,SOUTH  ,40,2019
72624,3904,11-APR-20,6786863,2.99,1,EAST   ,14,2020
31445,1082,30-APR-19,3096012,5.98,2,EAST   ,17,2019
469,4126,20-AUG-18,2458416,2.49,1,CENTRAL,33,2018
53077,1102,26-OCT-19,84775,5.18,2,EAST   ,42,2019
10137,3014,07-NOV-18,6769949,2.49,1,SOUTH  ,44,2018
42636,2507,31-JUL-19,7006722,4.31,1,WEST   ,30,2019
75700,1404,13-MAY-20,1042395,3.5,1,SOUTH  ,19,2020
8188,4420,22-OCT-18,6436599,3.69,1,EAST   ,42,2018
20625,1990,31-JAN-19,5378874,4.99,1,CENTRAL,4,2019
50680,60,06-OCT-19,7142300,3.29,1,EAST   ,40,2019
38134,2433,23-JUN-19,92900,5.99,1,WEST   ,25,2019
78536,992,10-JUN-20,5548597,8.0,8,EAST   ,23,2020
23537,1290,24-FEB-19,778152,1.67,1,CENTRAL,8,2019
65188,4857,05-FEB-20,5340631,1.25,1,CENTRAL,5,2020
12280,1545,24-NOV-18,572916,1.04,1,WEST   ,46,2018
8106,3940,21-OCT-18,6412078,1.59,1,EAST   ,42,2018
8670,4594,25-OCT-18,6709963,0.0,1,WEST   ,42,2018
20734,1241,01-FEB-19,6372553,1.5,1,EAST   ,4,2019
20486,1245,29-JAN-19,965028,4.49,1,EAST   ,4,2019
22953,2375,19-FEB-19,6072413,10.99,1,WEST   ,7,2019
53577,60,30-OCT-19,491756,2.29,1,EAST   ,43,2019
82037,1631,14-JUL-20,97842,3.69,1,WEST   ,28,2020
37763,4774,21-JUN-19,77932,4.49,1,WEST   ,24,2019
24634,1102,05-MAR-19,5312882,27.77,3,EAST   ,9,2019
31873,1916,03-MAY-19,4934165,1.0,1,WEST   ,17,2019
55734,2756,17-NOV-19,365571,2.0,1,CENTRAL,46,2019
27879,2762,02-APR-19,975078,3.99,1,WEST   ,13,2019
20885,2420,02-FEB-19,1411367,11.1,1,WEST   ,4,2019
72200,2512,07-APR-20,6217397,11.79,1,WEST   ,14,2020
261,1795,19-AUG-18,9059,1.67,1,WEST   ,33,2018
53186,1187,27-OCT-19,87697,1.88,1,EAST   ,43,2019
57040,210,27-NOV-19,415121,3.0,3,EAST   ,47,2019
67426,4904,25-FEB-20,6510670,4.43,1,CENTRAL,8,2020
26022,99,17-MAR-19,98933,1.99,1,SOUTH  ,11,2019
76200,159,17-MAY-20,72020,0.99,1,EAST   ,20,2020
39446,1082,04-JUL-19,72602,2.0,2,EAST   ,26,2019
55160,3476,12-NOV-19,6805914,1.99,1,SOUTH  ,45,2019
67554,2011,26-FEB-20,142609,4.77,3,EAST   ,8,2020
7326,3809,15-OCT-18,131557,10.78,2,CENTRAL,41,2018
26048,1245,17-MAR-19,3072075,3.0,1,EAST   ,11,2019
2834,3904,09-SEP-18,5987790,2.99,1,EAST   ,36,2018
78823,4498,13-JUN-20,8497,2.42,1,WEST   ,23,2020
83425,4171,27-JUL-20,4164006,2.5,1,EAST   ,30,2020
68183,2507,02-MAR-20,1340125,6.59,1,WEST   ,9,2020
32125,2420,06-MAY-19,8948,5.19,1,WEST   ,18,2019
51863,2375,16-OCT-19,1150551,17.99,1,WEST   ,41,2019
60777,4719,28-DEC-19,125819,2.5,1,CENTRAL,51,2019
81127,575,05-JUL-20,2269783,3.79,1,CENTRAL,27,2020
62106,2433,08-JAN-20,7042219,2.5,1,WEST   ,1,2020
63142,3442,18-JAN-20,5419667,1.25,1,SOUTH  ,2,2020
61969,4405,06-JAN-20,7152057,4.99,1,EAST   ,1,2020
53318,2175,29-OCT-19,386228,3.99,1,WEST   ,43,2019
67125,789,22-FEB-20,2951029,3.99,1,CENTRAL,7,2020
12940,4171,29-NOV-18,3072223,1.5,1,EAST   ,47,2018
46286,3687,29-AUG-19,87931,1.79,1,SOUTH  ,34,2019
24933,1554,08-MAR-19,101199,1.19,1,EAST   ,9,2019
44044,4126,11-AUG-19,905748,3.98,2,CENTRAL,32,2019
48754,422,19-SEP-19,84775,2.59,1,CENTRAL,37,2019
22971,2780,19-FEB-19,2652401,2.0,2,WEST   ,7,2019
2409,3993,05-SEP-18,726540,2.96,1,WEST   ,35,2018
42192,136,27-JUL-19,5515176,3.19,1,EAST   ,29,2019
49425,3582,26-SEP-19,6828735,2.99,1,SOUTH  ,38,2019
43068,4740,04-AUG-19,88731,1.27,1,SOUTH  ,31,2019
55294,184,13-NOV-19,918515,2.99,1,EAST   ,45,2019
22793,1885,17-FEB-19,9083,3.38,2,SOUTH  ,7,2019
56503,4836,23-NOV-19,6877056,6.99,1,SOUTH  ,46,2019
36615,361,11-JUN-19,99577,1.19,1,SOUTH  ,23,2019
9463,3105,01-NOV-18,5497765,2.0,1,SOUTH  ,43,2018
81037,4078,04-JUL-20,1090588,3.49,1,EAST   ,26,2020
8952,3614,27-OCT-18,960669,5.29,1,SOUTH  ,42,2018
19751,308,24-JAN-19,767419,0.7,1,EAST   ,3,2019
81184,1873,05-JUL-20,5726227,7.98,2,CENTRAL,27,2020
64335,642,28-JAN-20,288781,1.29,1,CENTRAL,4,2020
75277,1990,09-MAY-20,709805,4.99,1,CENTRAL,18,2020
52565,764,22-OCT-19,6075820,5.54,2,CENTRAL,42,2019
2530,3608,06-SEP-18,88715,1.49,1,CENTRAL,35,2018
62879,4218,15-JAN-20,945124,7.49,1,EAST   ,2,2020
9699,151,03-NOV-18,101610,1.49,1,EAST   ,43,2018
43713,2077,08-AUG-19,6871993,9.99,1,EAST   ,31,2019
71281,1994,29-MAR-20,930794,2.0,1,CENTRAL,13,2020
26381,779,20-MAR-19,5982766,2.99,1,CENTRAL,11,2019
72996,3800,16-APR-20,84917,1.29,1,CENTRAL,15,2020
16044,2436,23-DEC-18,1056907,0.99,1,WEST   ,51,2018
44821,2024,18-AUG-19,4404710,1.0,1,WEST   ,33,2019
39937,1187,09-JUL-19,6843773,3.99,1,EAST   ,27,2019
14578,3060,12-DEC-18,96761,1.99,1,SOUTH  ,49,2018
63245,3758,19-JAN-20,559362,0.99,1,SOUTH  ,3,2020
27268,1015,28-MAR-19,100983,0.89,1,EAST   ,12,2019
75805,3977,14-MAY-20,312712,10.58,2,EAST   ,19,2020
27992,2436,03-APR-19,8642,3.36,3,WEST   ,13,2019
77066,2512,26-MAY-20,72853,2.79,1,WEST   ,21,2020
64069,3247,25-JAN-20,6933957,2.78,2,SOUTH  ,3,2020
31753,3603,03-MAY-19,8436,1.78,1,SOUTH  ,17,2019
48146,172,14-SEP-19,94298,0.59,1,EAST   ,36,2019
74121,4713,28-APR-20,341985,1.19,1,SOUTH  ,17,2020
59743,453,19-DEC-19,6319113,4.59,1,EAST   ,50,2019
52189,3246,19-OCT-19,2201134,2.79,1,SOUTH  ,41,2019
23713,1261,25-FEB-19,90080,1.87,1,CENTRAL,8,2019
51485,361,13-OCT-19,92649,2.5,1,SOUTH  ,41,2019
3763,2375,16-SEP-18,992012,2.99,1,WEST   ,37,2018
36231,3411,07-JUN-19,96238,1.29,1,SOUTH  ,22,2019
2559,2874,06-SEP-18,99909,3.99,1,CENTRAL,35,2018
21019,1885,03-FEB-19,101655,2.49,1,SOUTH  ,5,2019
74462,631,01-MAY-20,662819,3.99,1,CENTRAL,17,2020
8018,3893,21-OCT-18,6180348,1.5,1,SOUTH  ,42,2018
68676,1437,06-MAR-20,6885283,4.99,1,WEST   ,9,2020
60788,2442,29-DEC-19,315735,2.5,2,WEST   ,52,2019
38226,1786,24-JUN-19,705804,1.0,1,WEST   ,25,2019
37113,1526,15-JUN-19,965270,1.1,2,CENTRAL,23,2019
1154,3358,26-AUG-18,6504240,4.49,1,SOUTH  ,34,2018
82986,4857,23-JUL-20,6441202,4.49,1,CENTRAL,29,2020
66574,1795,16-FEB-20,85029,1.49,1,WEST   ,7,2020
78443,616,08-JUN-20,7156285,3.69,1,CENTRAL,23,2020
35677,720,03-JUN-19,8473,0.99,3,CENTRAL,22,2019
29135,2436,12-APR-19,84819,1.79,1,WEST   ,14,2019
11337,1245,16-NOV-18,5684557,1.33,1,EAST   ,45,2018
63681,3842,22-JAN-20,6069251,3.0,1,SOUTH  ,3,2020
76232,2584,18-MAY-20,697663,3.47,1,CENTRAL,20,2020
3765,3164,16-SEP-18,6810241,2.99,1,SOUTH  ,37,2018
24497,1795,04-MAR-19,894425,2.79,1,WEST   ,9,2019
69822,4126,15-MAR-20,6990250,5.69,1,CENTRAL,11,2020
26770,1873,24-MAR-19,2650538,1.19,1,CENTRAL,12,2019
74947,2572,06-MAY-20,5895829,3.14,1,WEST   ,18,2020
27148,3022,27-MAR-19,3781030,2.88,2,SOUTH  ,12,2019
52455,210,21-OCT-19,6110388,2.77,1,EAST   ,42,2019
60993,4725,29-DEC-19,147175,6.0,2,CENTRAL,52,2019
4077,2638,19-SEP-18,190222,2.5,1,WEST   ,37,2018
24488,308,04-MAR-19,767427,0.7,1,EAST   ,9,2019
38336,1165,26-JUN-19,84882,1.99,1,EAST   ,25,2019
44860,4011,17-AUG-19,961123,5.97,3,SOUTH  ,32,2019
50328,3467,03-OCT-19,101330,5.99,1,SOUTH  ,39,2019
50970,1082,09-OCT-19,93187,1.0,1,EAST   ,40,2019
14915,3687,15-DEC-18,6474872,3.0,1,SOUTH  ,49,2018
36366,184,09-JUN-19,5475682,2.88,1,EAST   ,23,2019
69645,1795,14-MAR-20,2563630,2.31,3,WEST   ,10,2020
4736,3672,24-SEP-18,4164309,4.99,1,EAST   ,38,2018
5987,4065,05-OCT-18,103092,7.57,1,EAST   ,39,2018
16909,4879,31-DEC-18,6865613,4.99,1,CENTRAL,52,2018
22896,3672,18-FEB-19,513099,3.59,1,EAST   ,7,2019
324,815,19-AUG-18,4055449,2.22,1,CENTRAL,33,2018
22857,1699,18-FEB-19,524118,3.39,1,EAST   ,7,2019
21682,2874,09-FEB-19,761852,1.67,1,CENTRAL,5,2019
67089,4778,21-FEB-20,760856,1.99,1,WEST   ,7,2020
37847,2575,21-JUN-19,86330,0.4,1,WEST   ,24,2019
39852,1990,08-JUL-19,93281,1.99,1,CENTRAL,27,2019
10548,3445,10-NOV-18,5107275,0.99,1,SOUTH  ,44,2018
12305,3881,24-NOV-18,6772504,2.79,1,SOUTH  ,46,2018
75704,1618,13-MAY-20,6500520,1.99,1,WEST   ,19,2020
9350,2143,31-OCT-18,9064,1.53,1,EAST   ,43,2018
72767,845,13-APR-20,7037814,1.5,1,EAST   ,15,2020
11928,575,20-NOV-18,99691,7.98,2,CENTRAL,46,2018
3056,3358,11-SEP-18,778223,2.49,1,SOUTH  ,36,2018
73302,2780,19-APR-20,4934167,1.0,1,WEST   ,16,2020
42282,3319,28-JUL-19,101610,0.99,1,EAST   ,30,2019
3472,1631,14-SEP-18,5004036,0.99,1,WEST   ,36,2018
79156,1631,16-JUN-20,85961,0.79,1,WEST   ,24,2020
18822,3551,16-JAN-19,6660860,1.79,1,SOUTH  ,2,2019
72957,4713,15-APR-20,1066918,2.99,1,SOUTH  ,15,2020
13289,3784,02-DEC-18,6578325,3.49,1,CENTRAL,48,2018
10800,4057,11-NOV-18,6815933,1.49,1,EAST   ,45,2018
56626,3411,24-NOV-19,88715,1.49,1,SOUTH  ,47,2019
58287,2244,08-DEC-19,651315,3.49,1,CENTRAL,49,2019
55003,815,11-NOV-19,4625932,2.79,1,CENTRAL,45,2019
58652,1437,11-DEC-19,8512,1.88,1,WEST   ,49,2019
68727,514,07-MAR-20,8497,1.42,1,CENTRAL,9,2020
67093,720,21-FEB-20,2965060,11.98,2,CENTRAL,7,2020
48342,2150,15-SEP-19,7062329,1.39,1,EAST   ,37,2019
4437,2453,22-SEP-18,442455,0.99,1,WEST   ,37,2018
15993,2512,23-DEC-18,95369,1.69,1,WEST   ,51,2018
76198,1290,17-MAY-20,78093,3.49,1,CENTRAL,20,2020
49576,4594,27-SEP-19,4035641,1.85,1,WEST   ,38,2019
14208,1924,10-DEC-18,4041347,3.49,1,SOUTH  ,49,2018
47265,3603,06-SEP-19,190981,2.37,3,SOUTH  ,35,2019
81245,2874,06-JUL-20,385310,3.29,1,CENTRAL,27,2020
38914,3893,01-JUL-19,72040,1.0,1,SOUTH  ,26,2019
3662,3940,16-SEP-18,3693445,3.29,1,EAST   ,37,2018
83204,210,25-JUL-20,85062,2.0,1,EAST   ,29,2020
24512,2320,04-MAR-19,1088284,3.5,1,WEST   ,9,2019
23959,651,28-FEB-19,87115,4.69,1,CENTRAL,8,2019
25279,1990,11-MAR-19,638286,1.99,1,CENTRAL,10,2019
77515,2391,31-MAY-20,385681,3.49,1,WEST   ,22,2020
4490,2638,22-SEP-18,6271089,3.0,3,WEST   ,37,2018
76215,2780,18-MAY-20,177691,2.0,2,WEST   ,20,2020
17676,3411,06-JAN-19,5883729,2.5,1,SOUTH  ,1,2019
51391,1448,12-OCT-19,5191529,3.98,2,SOUTH  ,40,2019
36681,2780,11-JUN-19,7042253,3.29,1,WEST   ,23,2019
52997,1567,26-OCT-19,951614,5.98,2,WEST   ,42,2019
601,3044,21-AUG-18,784260,1.59,1,EAST   ,33,2018
35297,60,31-MAY-19,72602,1.25,1,EAST   ,21,2019
56247,2629,22-NOV-19,897468,2.99,1,WEST   ,46,2019
63445,60,20-JAN-20,6885266,4.29,1,EAST   ,3,2020
57425,4146,01-DEC-19,1217081,7.99,1,WEST   ,48,2019
42764,3582,01-AUG-19,6553325,3.99,1,SOUTH  ,30,2019
37176,3840,16-JUN-19,512807,2.49,1,EAST   ,24,2019
64953,1895,02-FEB-20,385647,1.0,1,EAST   ,5,2020
55667,3904,17-NOV-19,1023718,0.62,1,EAST   ,46,2019
65491,1618,08-FEB-20,7256289,0.99,1,WEST   ,5,2020
24600,1241,04-MAR-19,1091379,1.89,1,EAST   ,9,2019
7065,1245,13-OCT-18,5474833,4.99,1,EAST   ,40,2018
22740,459,17-FEB-19,101612,1.69,1,CENTRAL,7,2019
27151,1600,27-MAR-19,778692,1.99,1,WEST   ,12,2019
11732,4414,19-NOV-18,84910,3.89,1,CENTRAL,46,2018
40369,3398,12-JUL-19,5778084,3.29,1,SOUTH  ,27,2019
37021,2573,15-JUN-19,6069642,4.58,2,WEST   ,23,2019
20591,1261,31-JAN-19,762717,2.99,1,CENTRAL,4,2019
5881,453,03-OCT-18,4772674,1.99,1,EAST   ,39,2018
23962,1270,28-FEB-19,895339,5.49,1,CENTRAL,8,2019
13699,2291,05-DEC-18,6918699,24.99,1,SOUTH  ,48,2018
2617,1308,07-SEP-18,82983,3.49,1,SOUTH  ,35,2018
7444,3151,16-OCT-18,9057,1.36,1,CENTRAL,41,2018
25201,4740,10-MAR-19,71987,1.25,1,SOUTH  ,10,2019
71379,779,30-MAR-20,82961,6.79,1,CENTRAL,13,2020
68233,1265,03-MAR-20,4430185,1.0,1,EAST   ,9,2020
16672,2178,29-DEC-18,103141,8.99,1,SOUTH  ,51,2018
73065,1290,17-APR-20,76447,2.18,2,CENTRAL,15,2020
48640,4594,19-SEP-19,679385,9.98,2,WEST   ,37,2019
12568,2531,27-NOV-18,6656338,0.89,1,WEST   ,47,2018
63503,3672,21-JAN-20,5113889,1.25,1,EAST   ,3,2020
13002,655,30-NOV-18,98187,1.79,1,CENTRAL,47,2018
55089,2780,10-NOV-19,3679926,2.0,2,WEST   ,45,2019
41049,2780,18-JUL-19,72509,1.39,1,WEST   ,28,2019
79357,1245,18-JUN-20,5307273,2.69,1,EAST   ,24,2020
84361,1647,06-AUG-20,7183418,5.49,1,WEST   ,31,2020
72665,99,12-APR-20,6790697,4.99,1,SOUTH  ,15,2020
30290,3496,21-APR-19,87111,4.49,1,SOUTH  ,16,2019
80109,4293,25-JUN-20,9210,3.38,1,SOUTH  ,25,2020
26017,1885,17-MAR-19,5991399,2.0,2,SOUTH  ,11,2019
37151,4778,15-JUN-19,4561544,0.99,1,WEST   ,23,2019
30197,2019,20-APR-19,503420,3.5,1,SOUTH  ,15,2019
37,2004,17-AUG-18,985573,3.99,1,EAST   ,32,2018
65002,2320,03-FEB-20,5313705,2.49,1,WEST   ,5,2020
8117,1748,21-OCT-18,5744622,10.17,2,WEST   ,42,2018
22154,3274,13-FEB-19,6666188,6.99,1,SOUTH  ,6,2019
17049,651,31-DEC-18,6421335,1.5,1,CENTRAL,52,2018
39518,2442,06-JUL-19,147580,2.99,1,WEST   ,26,2019
69731,2617,15-MAR-20,7099412,3.49,1,WEST   ,11,2020
33553,2652,17-MAY-19,4864297,2.5,1,WEST   ,19,2019
18545,2762,13-JAN-19,6331426,2.79,1,WEST   ,2,2019
16956,2629,31-DEC-18,147026,2.99,1,WEST   ,52,2018
55982,2507,19-NOV-19,321322,1.99,1,WEST   ,46,2019
26871,2745,23-MAR-19,6791944,3.99,1,WEST   ,11,2019
81778,1949,09-JUL-20,1406765,3.12,2,WEST   ,27,2020
61582,3904,04-JAN-20,86042,2.5,1,EAST   ,52,2020
46574,1080,01-SEP-19,7592,2.97,1,EAST   ,35,2019
11661,1532,19-NOV-18,4010233,1.49,1,WEST   ,46,2018
